»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2017-12-15,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-14,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-13,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-12,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-11,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-08,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-07,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-06,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-05,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-04,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-12-01,'000678,œÂ—Ù÷·≥–,0.0,0.0,0.0,0.0,8.06,None,None,0.0,0,0.0,3704471083.82,3458383163.82
2017-11-30,'000678,œÂ—Ù÷·≥–,8.06,8.17,8.02,8.02,8.05,0.01,0.1242,0.6382,2738524,22137305.2,3704471083.82,3458383163.82
2017-11-29,'000678,œÂ—Ù÷·≥–,8.05,8.3,7.78,7.78,7.75,0.3,3.871,1.1071,4750436,38372207.5,3699874965.85,3454092365.85
2017-11-28,'000678,œÂ—Ù÷·≥–,7.75,7.78,7.63,7.75,7.64,0.11,1.4398,0.2128,912927,7048841.57,3561991426.75,3325368426.75
2017-11-27,'000678,œÂ—Ù÷·≥–,7.64,7.75,7.6,7.69,7.71,-0.07,-0.9079,0.2274,975878,7481635.82,3511434129.08,3278169649.08
2017-11-24,'000678,œÂ—Ù÷·≥–,7.71,7.79,7.67,7.68,7.68,0.03,0.3906,0.2222,953300,7354702.82,3543606954.87,3308205234.87
2017-11-23,'000678,œÂ—Ù÷·≥–,7.68,7.83,7.65,7.73,7.82,-0.14,-1.7903,0.2716,1165288,9031526.9,3529818600.96,3295332840.96
2017-11-22,'000678,œÂ—Ù÷·≥–,7.82,7.93,7.79,7.91,7.91,-0.09,-1.1378,0.2636,1131110,8872007.2,3594164252.54,3355404012.54
2017-11-21,'000678,œÂ—Ù÷·≥–,7.91,7.92,7.72,7.84,7.84,0.07,0.8929,0.295,1265900,9900889.0,3635529314.27,3394021194.27
2017-11-20,'000678,œÂ—Ù÷·≥–,7.84,7.9,7.42,7.68,7.68,0.16,2.0833,0.4664,2001418,15384981.72,3603356488.48,3363985608.48
2017-11-17,'000678,œÂ—Ù÷·≥–,7.68,7.97,7.61,7.92,7.92,-0.24,-3.0303,0.5874,2520217,19687329.22,3529818600.96,3295332840.96
2017-11-16,'000678,œÂ—Ù÷·≥–,7.92,8.02,7.92,7.96,7.98,-0.06,-0.7519,0.2506,1075192,8572318.57,3640125432.24,3398311992.24
2017-11-15,'000678,œÂ—Ù÷·≥–,7.98,8.03,7.95,8.02,8.01,-0.03,-0.3745,0.359,1540200,12277140.0,3667702140.06,3424056780.06
2017-11-14,'000678,œÂ—Ù÷·≥–,8.01,8.08,7.93,8.01,8.03,-0.02,-0.2491,0.3501,1502041,12023006.98,3681490493.97,3436929173.97
2017-11-13,'000678,œÂ—Ù÷·≥–,8.03,8.09,7.92,8.05,8.03,0.0,0.0,0.4434,1902701,15235137.0,3690682729.91,3445510769.91
2017-11-10,'000678,œÂ—Ù÷·≥–,8.03,8.11,8.01,8.11,8.09,-0.06,-0.7417,0.3495,1499791,12054519.82,3690682729.91,3445510769.91
2017-11-09,'000678,œÂ—Ù÷·≥–,8.09,8.14,8.02,8.08,8.08,0.01,0.1238,0.3666,1573194,12714437.64,3718259437.73,3471255557.73
2017-11-08,'000678,œÂ—Ù÷·≥–,8.08,8.2,8.08,8.11,8.15,-0.07,-0.8589,0.4095,1757000,14260664.0,3713663319.76,3466964759.76
2017-11-07,'000678,œÂ—Ù÷·≥–,8.15,8.19,7.92,7.92,7.92,0.23,2.904,0.6992,3000052,24386902.71,3745836145.55,3497000345.55
2017-11-06,'000678,œÂ—Ù÷·≥–,7.92,7.93,7.7,7.76,7.76,0.16,2.0619,0.3158,1354858,10570939.74,3640125432.24,3398311992.24
2017-11-03,'000678,œÂ—Ù÷·≥–,7.76,7.92,7.75,7.87,7.85,-0.09,-1.1465,0.4199,1801800,14057370.0,3566587544.72,3329659224.72
2017-11-02,'000678,œÂ—Ù÷·≥–,7.85,8.03,7.8,8.0,8.04,-0.19,-2.3632,0.6228,2672100,21094673.0,3607952606.45,3368276406.45
2017-11-01,'000678,œÂ—Ù÷·≥–,8.04,8.1,8.02,8.08,8.04,0.0,0.0,0.3411,1463600,11777415.0,3695278847.88,3449801567.88
2017-10-31,'000678,œÂ—Ù÷·≥–,8.04,8.05,7.96,8.0,8.01,0.03,0.3745,0.4324,1855420,14858829.2,3695278847.88,3449801567.88
2017-10-30,'000678,œÂ—Ù÷·≥–,8.01,8.34,7.95,8.31,8.27,-0.26,-3.1439,0.8448,3624678,29259124.0,3681490493.97,3436929173.97
2017-10-27,'000678,œÂ—Ù÷·≥–,8.27,8.38,8.25,8.27,8.26,0.01,0.1211,0.5065,2173210,18024863.7,3800989561.19,3548489921.19
2017-10-26,'000678,œÂ—Ù÷·≥–,8.26,8.28,8.15,8.23,8.23,0.03,0.3645,0.5937,2547477,21022984.02,3796393443.22,3544199123.22
2017-10-25,'000678,œÂ—Ù÷·≥–,8.23,8.27,8.09,8.13,8.14,0.09,1.1057,0.5713,2451518,20071777.46,3782605089.31,3531326729.31
2017-10-24,'000678,œÂ—Ù÷·≥–,8.14,8.22,8.08,8.22,8.22,-0.08,-0.9732,0.5001,2145950,17443141.0,3741240027.58,3492709547.58
