хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2017-12-15,'002024,кудЧтфил,12.55,12.82,12.32,12.44,12.5,0.05,0.4,1.6875,86424897,1088266823.45,1.1684099767e+11,64274839670.9
2017-12-14,'002024,кудЧтфил,12.5,12.52,12.04,12.11,12.06,0.44,3.6484,1.2893,66033345,811725146.8,1.16375495688e+11,64018764612.5
2017-12-13,'002024,кудЧтфил,12.06,12.32,11.96,12.26,12.3,-0.24,-1.9512,1.0343,52972876,641226941.76,1.12279078239e+11,61765304098.1
2017-12-12,'002024,кудЧтфил,12.3,12.74,12.27,12.69,12.61,-0.31,-2.4584,0.964,49370343,617312284.41,1.14513487756e+11,62994464378.7
2017-12-11,'002024,кудЧтфил,12.61,12.65,12.32,12.4,12.36,0.25,2.0227,1.1572,59264485,742645994.63,1.1739960005e+11,64582129741.1
2017-12-08,'002024,кудЧтфил,12.36,12.63,12.17,12.18,12.21,0.15,1.2285,1.4368,73585559,912225452.25,1.15072090136e+11,63301754448.8
2017-12-07,'002024,кудЧтфил,12.21,12.35,12.13,12.27,12.33,-0.12,-0.9732,0.653,33441943,408903837.79,1.13675584188e+11,62533529273.5
2017-12-06,'002024,кудЧтфил,12.33,12.42,11.81,11.86,11.88,0.45,3.7879,1.4283,73149434,891976550.54,1.14792788946e+11,63148109413.8
2017-12-05,'002024,кудЧтфил,11.88,12.22,11.82,12.06,12.05,-0.17,-1.4108,0.7214,36945014,444229949.76,1.10603271101e+11,60843433887.7
2017-12-04,'002024,кудЧтфил,12.05,12.12,11.91,11.92,12.01,0.04,0.3331,0.5776,29581521,356326492.86,1.12185977843e+11,61714089086.4
2017-12-01,'002024,кудЧтфил,12.01,12.13,11.91,11.94,11.92,0.09,0.755,0.5052,25872593,311076862.56,1.11813576257e+11,61509229039.7
2017-11-30,'002024,кудЧтфил,11.92,12.21,11.92,12.03,12.11,-0.19,-1.569,0.5778,29591710,356949424.17,1.10975672688e+11,61048293934.5
2017-11-29,'002024,кудЧтфил,12.11,12.13,11.7,11.94,12.03,0.08,0.665,0.9849,50440172,599397867.6,1.12744580222e+11,62021379156.6
2017-11-28,'002024,кудЧтфил,12.03,12.08,11.87,11.9,11.9,0.13,1.0924,0.6628,33942775,406627655.84,1.1199977705e+11,61611659063.1
