日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-15,'002076,雪 莱 特,5.53,5.63,5.51,5.61,5.59,-0.06,-1.0733,0.4915,2932308,16256234.48,4038233681.16,3299001519.1
2017-12-14,'002076,雪 莱 特,5.59,5.65,5.54,5.58,5.67,-0.08,-1.4109,1.0976,6547780,36560839.6,4082048151.48,3334795387.3
2017-12-13,'002076,雪 莱 特,5.67,5.68,5.46,5.49,5.49,0.18,3.2787,1.3256,7907868,44269184.78,4140467445.24,3382520544.9
2017-12-12,'002076,雪 莱 特,5.49,5.58,5.48,5.57,5.52,-0.03,-0.5435,0.6856,4089800,22562463.0,4009024034.28,3275138940.3
2017-12-11,'002076,雪 莱 特,5.52,5.58,5.42,5.44,5.44,0.08,1.4706,1.0675,6368366,35198203.16,4030931269.44,3293035874.4
2017-12-08,'002076,雪 莱 特,5.44,5.45,5.36,5.45,5.42,0.02,0.369,0.6821,4068966,22039709.92,3972511975.68,3245310716.8
2017-12-07,'002076,雪 莱 特,5.42,5.48,5.26,5.29,5.25,0.17,3.2381,1.246,7433426,40079269.4,3957907152.24,3233379427.4
2017-12-06,'002076,雪 莱 特,5.25,5.28,5.17,5.25,5.27,-0.02,-0.3795,0.5446,3248600,16946436.7,3833766153.0,3131963467.5
2017-12-05,'002076,雪 莱 特,5.27,5.42,5.27,5.4,5.46,-0.19,-3.4799,0.7014,4184148,22293989.9,3848370976.44,3143894756.9
2017-12-04,'002076,雪 莱 特,5.46,5.5,5.4,5.5,5.5,-0.04,-0.7273,0.7088,4228500,22933880.0,3987116799.12,3257242006.2
2017-12-01,'002076,雪 莱 特,5.5,5.52,5.46,5.51,5.5,0.0,0.0,0.4548,2713302,14895708.96,4016326446.0,3281104585.0
2017-11-30,'002076,雪 莱 特,5.5,5.5,5.38,5.45,5.49,0.01,0.1821,0.6534,3897984,21252870.3,4016326446.0,3281104585.0
2017-11-29,'002076,雪 莱 特,5.49,5.54,5.4,5.52,5.5,-0.01,-0.1818,0.8084,4822332,26285028.96,4009024034.28,3275138940.3
2017-11-28,'002076,雪 莱 特,5.5,5.52,5.25,5.27,5.27,0.23,4.3643,1.616,9640202,52048692.55,4016326446.0,3281104585.0
2017-11-27,'002076,雪 莱 特,5.27,5.5,5.24,5.5,5.52,-0.25,-4.529,1.2659,7551700,40335807.14,3848370976.44,3143894756.9
2017-11-24,'002076,雪 莱 特,5.52,5.59,5.49,5.55,5.63,-0.11,-1.9538,0.7382,4403585,24419961.08,4030931269.44,3293035874.4
2017-11-23,'002076,雪 莱 特,5.63,5.76,5.6,5.76,5.75,-0.12,-2.087,1.06,6323622,35801811.74,4111257798.36,3358657966.1
2017-11-22,'002076,雪 莱 特,5.75,5.93,5.73,5.93,5.92,-0.17,-2.8716,1.4443,8616334,49896440.94,4198886739.0,3430245702.5
2017-11-21,'002076,雪 莱 特,5.92,5.98,5.79,5.84,5.8,0.12,2.069,1.6866,10061631,59156450.52,4323027738.24,3531661662.4
2017-11-20,'002076,雪 莱 特,5.8,5.88,5.67,5.79,5.98,-0.18,-3.01,1.0135,6045902,34803739.96,4235398797.6,3460073926.0
2017-11-17,'002076,雪 莱 特,5.98,6.12,5.57,6.12,6.1,-0.12,-1.9672,2.4747,14763072,85510980.94,4366842208.56,3567455530.6
2017-11-16,'002076,雪 莱 特,6.1,6.25,6.07,6.24,6.24,-0.14,-2.2436,1.7378,10367184,63962244.84,4454471149.2,3639043267.0
2017-11-15,'002076,雪 莱 特,6.24,6.28,6.17,6.23,6.24,0.0,0.0,1.4715,8778716,54544417.28,4556704913.28,3722562292.8
2017-11-14,'002076,雪 莱 特,6.24,6.29,6.19,6.29,6.3,-0.06,-0.9524,1.1688,6972700,43432762.0,4556704913.28,3722562292.8
