ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ
2018-01-18,'002287,Цце§ВивЉ,35.09,35.19,34.53,34.71,34.71,0.38,1.0948,0.1108,449879,15729995.42,14246540000.0,14246540000.0
2018-01-17,'002287,Цце§ВивЉ,34.71,35.45,34.26,35.28,35.33,-0.62,-1.7549,0.1745,708671,24543512.7,14092260000.0,14092260000.0
2018-01-16,'002287,Цце§ВивЉ,35.33,35.64,34.73,34.95,35.0,0.33,0.9429,0.1602,650413,22806021.35,14343980000.0,14343980000.0
2018-01-15,'002287,Цце§ВивЉ,35.0,36.23,34.75,36.18,36.16,-1.16,-3.208,0.2281,926154,32683103.84,14210000000.0,14210000000.0
2018-01-12,'002287,Цце§ВивЉ,36.16,36.36,35.8,35.95,36.08,0.08,0.2217,0.1726,700632,25217558.78,14680960000.0,14680960000.0
2018-01-11,'002287,Цце§ВивЉ,36.08,36.45,35.64,36.08,36.35,-0.27,-0.7428,0.263,1067669,38503534.44,14648480000.0,14648480000.0
2018-01-10,'002287,Цце§ВивЉ,36.35,37.18,36.1,36.8,37.0,-0.65,-1.7568,0.3603,1462921,53329228.46,14758100000.0,14758100000.0
2018-01-09,'002287,Цце§ВивЉ,37.0,38.0,34.63,34.63,34.69,2.31,6.659,0.6688,2715425,99947436.21,15022000000.0,15022000000.0
2018-01-08,'002287,Цце§ВивЉ,34.69,35.19,34.41,34.98,35.04,-0.35,-0.9989,0.1585,643508,22343062.78,14084140000.0,14084140000.0
2018-01-05,'002287,Цце§ВивЉ,35.04,35.24,34.69,34.69,34.96,0.08,0.2288,0.1166,473460,16598092.8,14226240000.0,14226240000.0
2018-01-04,'002287,Цце§ВивЉ,34.96,35.33,34.86,35.16,35.26,-0.3,-0.8508,0.1642,666587,23346406.26,14193760000.0,14193760000.0
2018-01-03,'002287,Цце§ВивЉ,35.26,35.68,34.4,34.83,34.65,0.61,1.7605,0.2451,995278,35049939.33,14315560000.0,14315560000.0
2018-01-02,'002287,Цце§ВивЉ,34.65,34.78,33.78,33.8,33.88,0.77,2.2727,0.1897,770078,26462494.03,14067900000.0,14067900000.0
2017-12-29,'002287,Цце§ВивЉ,33.88,33.97,33.41,33.47,33.47,0.41,1.225,0.1588,644792,21759306.52,13755280000.0,13755280000.0
2017-12-28,'002287,Цце§ВивЉ,33.47,34.55,33.16,34.3,34.37,-0.9,-2.6186,0.3562,1446112,48636257.65,13588820000.0,13588820000.0
