휑퍅,믈튿덜쯤,츰냔,澗턍송,離멕송,離됴송,역턍송,품澗턍,朗딨띨,朗딨류,뻣癎쪽,냥슥좆,냥슥쏜띨,悧懇令,직繫懇令
2017-12-15,'002490,*ST카질,4.89,4.96,4.85,4.94,4.94,-0.05,-1.0121,0.7698,4170208,20426759.99,3901478676.0,2649020580.0
2017-12-14,'002490,*ST카질,4.94,5.03,4.83,4.83,4.83,0.11,2.2774,1.0258,5556800,27456082.97,3941371096.0,2676106680.0
2017-12-13,'002490,*ST카질,4.83,4.85,4.74,4.75,4.74,0.09,1.8987,0.4999,2707800,13038772.0,3853607772.0,2616517260.0
2017-12-12,'002490,*ST카질,4.74,4.85,4.74,4.85,4.82,-0.08,-1.6598,0.4689,2540302,12154228.54,3781801416.0,2567762280.0
2017-12-11,'002490,*ST카질,4.82,4.85,4.7,4.72,4.72,0.1,2.1186,0.5721,3099400,14837145.0,3845629288.0,2611100040.0
2017-12-08,'002490,*ST카질,4.72,4.76,4.63,4.63,4.63,0.09,1.9438,0.5951,3223600,15168339.0,3765844448.0,2556927840.0
2017-12-07,'002490,*ST카질,4.63,4.67,4.61,4.65,4.65,-0.02,-0.4301,0.5512,2986219,13851038.78,3694038092.0,2508172860.0
2017-12-06,'002490,*ST카질,4.65,4.65,4.51,4.6,4.6,0.05,1.087,1.0127,5486108,25085057.4,3709995060.0,2519007300.0
2017-12-05,'002490,*ST카질,4.6,4.9,4.6,4.79,4.84,-0.24,-4.9587,1.5475,8383121,39405696.0,3670102640.0,2491921200.0
2017-12-04,'002490,*ST카질,4.84,5.0,4.83,4.98,4.99,-0.15,-3.006,0.8489,4598700,22655922.0,3861586256.0,2621934480.0
2017-12-01,'002490,*ST카질,4.99,5.01,4.93,4.96,4.96,0.03,0.6048,0.6012,3256800,16184763.0,3981263516.0,2703192780.0
2017-11-30,'002490,*ST카질,4.96,5.03,4.94,5.0,5.03,-0.07,-1.3917,0.6057,3281101,16349090.99,3957328064.0,2686941120.0
2017-11-29,'002490,*ST카질,5.03,5.08,4.97,5.06,5.04,-0.01,-0.1984,0.6565,3556511,17820129.33,4013177452.0,2724861660.0
2017-11-28,'002490,*ST카질,5.04,5.04,4.93,4.93,4.96,0.08,1.6129,0.5779,3130432,15659483.99,4021155936.0,2730278880.0
2017-11-27,'002490,*ST카질,4.96,5.08,4.91,4.97,4.96,0.0,0.0,0.8254,4471214,22443413.13,3957328064.0,2686941120.0
2017-11-24,'002490,*ST카질,4.96,4.98,4.83,4.88,4.89,0.07,1.4315,0.8555,4634200,22790961.0,3957328064.0,2686941120.0
2017-11-23,'002490,*ST카질,4.89,4.99,4.89,4.96,4.99,-0.1,-2.004,1.185,6419208,31734204.26,3901478676.0,2649020580.0
2017-11-22,'002490,*ST카질,4.99,5.1,4.93,5.06,5.07,-0.08,-1.5779,1.5988,8660799,43489655.06,3981263516.0,2703192780.0
2017-11-21,'002490,*ST카질,5.07,5.25,5.01,5.14,5.17,-0.1,-1.9342,1.7781,9632511,49406110.51,4045091388.0,2746530540.0
2017-11-20,'002490,*ST카질,5.17,5.3,5.12,5.18,5.39,-0.22,-4.0816,2.7368,14825719,76186952.47,4124876228.0,2800702740.0
2017-11-17,'002490,*ST카질,5.39,5.69,5.39,5.64,5.67,-0.28,-4.9383,2.4043,13024355,71790572.33,4300402876.0,2919881580.0
2017-11-16,'002490,*ST카질,5.67,5.72,5.46,5.48,5.52,0.15,2.7174,2.39,12947332,72794084.01,4523800428.0,3071563740.0
2017-11-15,'002490,*ST카질,5.52,5.62,5.34,5.38,5.37,0.15,2.7933,2.2948,12431592,68648737.92,4404123168.0,2990305440.0
2017-11-14,'002490,*ST카질,5.37,5.46,5.36,5.44,5.44,-0.07,-1.2868,1.5244,8257891,44571957.88,4284445908.0,2909047140.0
2017-11-13,'002490,*ST카질,5.44,5.54,5.21,5.23,5.28,0.16,3.0303,2.5082,13587416,73706514.16,4340295296.0,2946967680.0
2017-11-10,'002490,*ST카질,5.28,5.29,5.16,5.2,5.2,0.08,1.5385,1.3256,7180888,37706236.92,4212639552.0,2860292160.0
2017-11-09,'002490,*ST카질,5.2,5.26,5.16,5.18,5.2,0.0,0.0,1.2917,6997600,36437985.57,4148811680.0,2816954400.0
2017-11-08,'002490,*ST카질,5.2,5.36,5.19,5.26,5.29,-0.09,-1.7013,2.1861,11842687,62416840.74,4148811680.0,2816954400.0
2017-11-07,'002490,*ST카질,5.29,5.38,5.13,5.15,5.18,0.11,2.1236,2.7321,14800254,77819525.26,4220618036.0,2865709380.0
