�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-01-17,'300413,辦氈劃,29.31,29.88,28.08,28.51,28.79,0.52,1.8062,2.677,5318556,154551520.0,11753310000.0,5823268828.08
2018-01-16,'300413,辦氈劃,28.79,28.98,27.33,28.22,28.36,0.43,1.5162,3.341,6637862,187729460.6,11544790000.0,5719955972.72
2018-01-15,'300413,辦氈劃,28.36,29.87,28.23,29.87,29.79,-1.43,-4.8003,2.4592,4885976,142623032.19,11372360000.0,5634524188.48
2018-01-12,'300413,辦氈劃,29.79,29.94,29.34,29.53,29.65,0.14,0.4722,1.8153,3606603,107131370.62,11945790000.0,5918634540.72
2018-01-11,'300413,辦氈劃,29.65,30.66,29.38,30.55,30.7,-1.05,-3.4202,3.0895,6138243,182598241.9,11889650000.0,5890819541.2
2018-01-10,'300413,辦氈劃,30.7,31.19,30.36,30.8,31.0,-0.3,-0.9677,1.4404,2861691,88064486.9,12310700000.0,6099432037.6
2018-01-09,'300413,辦氈劃,31.0,31.15,30.3,30.96,30.6,0.4,1.3072,1.7495,3475893,106786677.75,12431000000.0,6159035608.0
2018-01-08,'300413,辦氈劃,30.6,31.48,30.15,31.0,31.86,-1.26,-3.9548,4.2056,8355611,255740781.28,12270600000.0,6079564180.8
2018-01-05,'300413,辦氈劃,31.86,32.53,31.2,31.56,31.56,0.3,0.9506,3.3034,6563113,209982402.1,12775860000.0,6329899176.48
2018-01-04,'300413,辦氈劃,31.56,32.57,30.56,30.56,30.78,0.78,2.5341,4.9392,9813044,311679186.48,12655560000.0,6270295606.08
2018-01-03,'300413,辦氈劃,30.78,31.63,30.46,31.07,31.2,-0.42,-1.3462,2.413,4794039,147842861.05,12342780000.0,6115326323.04
2018-01-02,'300413,辦氈劃,31.2,31.5,29.56,30.0,29.85,1.35,4.5226,3.8108,7571232,233985956.68,12511200000.0,6198771321.6
2017-12-29,'300413,辦氈劃,29.85,30.1,29.21,29.21,29.2,0.65,2.226,2.578,5121903,152755723.11,11969850000.0,5930555254.8
2017-12-28,'300413,辦氈劃,29.2,30.23,29.14,29.26,29.72,-0.52,-1.7497,2.9015,5764622,171071162.61,11709200000.0,5801414185.6
2017-12-27,'300413,辦氈劃,29.72,30.87,29.69,30.87,30.9,-1.18,-3.8188,4.144,8233266,247458202.94,11917720000.0,5904727040.96
2017-12-26,'300413,辦氈劃,30.9,31.41,30.64,31.0,31.2,-0.3,-0.9615,2.5689,5103765,157662559.92,12390900000.0,6139167751.2
2017-12-25,'300413,辦氈劃,31.2,31.97,30.3,30.3,30.45,0.75,2.4631,3.3131,6582420,206563476.24,12511200000.0,6198771321.6
2017-12-22,'300413,辦氈劃,30.45,31.06,29.95,30.46,30.9,-0.45,-1.4563,2.9036,5768895,176476752.48,12210450000.0,6049762395.6
2017-12-21,'300413,辦氈劃,30.9,31.69,29.65,31.5,32.09,-1.19,-3.7083,7.2897,14482981,444372650.21,12390900000.0,6139167751.2
2017-12-20,'300413,辦氈劃,32.09,33.45,31.45,31.45,31.55,0.54,1.7116,6.186,12290271,401047794.36,12868090000.0,6375595247.12
2017-12-19,'300413,辦氈劃,31.55,32.24,30.98,31.73,31.67,-0.12,-0.3789,4.3636,8669617,273087278.63,12651550000.0,6268308820.4
2017-12-18,'300413,辦氈劃,31.67,32.97,31.39,32.8,33.03,-1.36,-4.1175,7.1405,14186690,454439552.28,12699670000.0,6292150248.56
2017-12-15,'300413,辦氈劃,33.03,33.03,30.09,30.1,30.03,3.0,9.99,11.5722,22991444,737509129.31,13245030000.0,6562353101.04
2017-12-14,'300413,辦氈劃,30.03,30.88,29.42,29.69,29.68,0.35,1.1792,5.4038,10736173,323202240.72,12042030000.0,5966317397.04
2017-12-13,'300413,辦氈劃,29.68,30.49,29.38,29.7,30.1,-0.42,-1.3953,4.8036,9543813,283954080.61,11901680000.0,5896779898.24
2017-12-12,'300413,辦氈劃,30.1,31.19,29.45,30.0,30.29,-0.19,-0.6273,6.2834,12483861,379614993.51,12070100000.0,5980224896.8
2017-12-11,'300413,辦氈劃,30.29,30.88,29.23,29.7,29.88,0.41,1.3722,7.4949,14890758,449365726.11,12146290000.0,6017973824.72
2017-12-08,'300413,辦氈劃,29.88,30.39,29.19,30.0,30.53,-0.65,-2.1291,8.351,16591685,493403841.69,11981880000.0,5936515611.84
2017-12-07,'300413,辦氈劃,30.53,31.29,29.65,30.31,30.17,0.36,1.1932,9.3443,18565085,569512217.55,12242530000.0,6065656681.04
2017-12-06,'300413,辦氈劃,30.17,31.18,29.0,29.1,30.0,0.17,0.5667,12.0156,23872455,719123142.41,12098170000.0,5994132396.56
2017-12-05,'300413,辦氈劃,30.0,31.0,27.83,27.85,28.18,1.82,6.4585,21.3653,42448320,1282052451.31,12030000000.0,5960357040.0
2017-12-04,'300413,辦氈劃,28.18,28.68,27.25,27.4,27.2,0.98,3.6029,14.376,28561999,803838756.01,11300180000.0,5598762046.24
2017-12-01,'300413,辦氈劃,27.2,28.0,25.7,26.22,26.21,0.99,3.7772,13.2263,26277915,710974350.96,10907200000.0,5404057049.6
2017-11-30,'300413,辦氈劃,26.21,27.15,24.51,24.51,24.94,1.27,5.0922,13.0877,26002372,676811349.01,10510210000.0,5207365267.28
2017-11-29,'300413,辦氈劃,24.94,26.21,24.68,26.1,26.54,-1.6,-6.0286,9.8952,19659614,497882755.34,10000940000.0,4955043485.92
2017-11-28,'300413,辦氈劃,26.54,26.98,24.81,25.58,25.59,0.95,3.7124,12.0005,23842502,614431946.02,10642540000.0,5272929194.72
2017-11-27,'300413,辦氈劃,25.59,28.11,25.32,27.0,27.0,-1.41,-5.2222,13.6151,27050360,722142204.89,10261590000.0,5084184555.12
2017-11-24,'300413,辦氈劃,27.0,28.98,26.0,28.0,26.96,0.04,0.1484,23.1889,46071290,1258361098.22,10827000000.0,5364321336.0
2017-11-23,'300413,辦氈劃,26.96,26.96,25.8,25.8,24.51,2.45,9.9959,8.2167,16324827,431077434.68,10810960000.0,5356374193.28
2017-11-22,'300413,辦氈劃,24.51,24.51,21.82,23.49,22.28,2.23,10.009,16.2741,32333058,758641099.58,9828510000.0,4869611701.68
2017-11-21,'300413,辦氈劃,22.28,22.28,22.28,22.28,20.25,2.03,10.0247,1.5076,2995258,66734348.24,8934280000.0,4426558495.04
2017-11-20,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-17,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-16,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-15,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-14,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-13,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-10,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-09,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-08,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-07,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-06,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-03,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-02,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-11-01,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-31,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-30,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-27,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-26,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-25,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-24,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-23,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-20,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-19,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-18,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-17,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-16,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-13,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-12,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-11,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-10,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-10-09,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-29,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-28,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-27,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-26,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-25,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-22,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-21,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-20,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-19,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-18,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-15,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-14,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-13,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-12,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-11,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-08,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-07,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-06,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-05,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-04,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-09-01,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-31,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-30,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-29,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-28,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-25,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-24,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
2017-08-23,'300413,辦氈劃,0.0,0.0,0.0,0.0,20.25,None,None,0.0,0,0.0,8120250000.0,4023241002.0
