晩豚,紘同旗鷹,兆各,辺徒勺,恷互勺,恷詰勺,蝕徒勺,念辺徒,嫻鋸駆,嫻鋸嫌,算返楕,撹住楚,撹住署駆,悳偏峙,送宥偏峙
2017-12-15,'600844,*ST気親,5.83,5.85,5.68,5.74,5.78,0.05,0.8651,0.2114,1739507,10037260.0,5926336319.2,4796519596.22
2017-12-14,'600844,*ST気親,5.78,5.87,5.59,5.66,5.59,0.19,3.3989,0.5933,4881535,28214322.0,5875510107.2,4755383064.52
2017-12-13,'600844,*ST気親,5.59,5.63,5.45,5.45,5.46,0.13,2.381,0.2304,1895903,10526749.0,5682370501.6,4599064244.06
2017-12-12,'600844,*ST気親,5.46,5.52,5.45,5.49,5.45,0.01,0.1835,0.2272,1869300,10252447.0,5550222350.4,4492109261.64
2017-12-11,'600844,*ST気親,5.45,5.55,5.44,5.49,5.52,-0.07,-1.2681,0.2951,2427700,13299538.0,5540057108.0,4483881955.3
2017-12-08,'600844,*ST気親,5.52,5.57,5.27,5.32,5.3,0.22,4.1509,0.2909,2393503,13101234.0,5611213804.8,4541473099.68
2017-12-07,'600844,*ST気親,5.3,5.31,5.14,5.23,5.24,0.06,1.145,0.1547,1272900,6688255.0,5387578472.0,4360472360.2
2017-12-06,'600844,*ST気親,5.24,5.57,5.24,5.57,5.52,-0.28,-5.0725,0.5479,4507400,23968163.0,5326587017.6,4311108522.16
2017-12-05,'600844,*ST気親,5.52,5.56,5.39,5.54,5.58,-0.06,-1.0753,0.1647,1355303,7435661.0,5611213804.8,4541473099.68
2017-12-04,'600844,*ST気親,5.58,5.6,5.5,5.5,5.54,0.04,0.722,0.2314,1903667,10601812.0,5672205259.2,4590836937.72
2017-12-01,'600844,*ST気親,5.54,5.57,5.45,5.47,5.47,0.07,1.2797,0.1406,1156413,6370408.0,5631544289.6,4557927712.36
2017-11-30,'600844,*ST気親,5.47,5.61,5.46,5.59,5.54,-0.07,-1.2635,0.1674,1377304,7626701.0,5560387592.8,4500336567.98
2017-11-29,'600844,*ST気親,5.54,5.6,5.5,5.55,5.52,0.02,0.3623,0.1719,1413943,7840754.0,5631544289.6,4557927712.36
2017-11-28,'600844,*ST気親,5.52,5.53,5.36,5.41,5.37,0.15,2.7933,0.1856,1527302,8382531.0,5611213804.8,4541473099.68
2017-11-27,'600844,*ST気親,5.37,5.59,5.31,5.36,5.32,0.05,0.9398,0.5691,4682202,25650800.0,5458735168.8,4418063504.58
2017-11-24,'600844,*ST気親,5.32,5.34,5.05,5.05,5.18,0.14,2.7027,0.2525,2077219,10857627.0,5407908956.8,4376926972.88
2017-11-23,'600844,*ST気親,5.18,5.46,5.17,5.43,5.44,-0.26,-4.7794,0.5213,4288600,22708274.0,5265595563.2,4261744684.12
2017-11-22,'600844,*ST気親,5.44,5.49,5.31,5.43,5.47,-0.03,-0.5484,0.4273,3515160,18972630.0,5529891865.6,4475654648.96
2017-11-21,'600844,*ST気親,5.47,5.65,5.4,5.56,5.55,-0.08,-1.4414,0.4113,3383800,18539251.0,5560387592.8,4500336567.98
2017-11-20,'600844,*ST気親,5.55,5.58,5.3,5.57,5.58,-0.03,-0.5376,0.1942,1597805,8756833.0,5641709532.0,4566155018.7
2017-11-17,'600844,*ST気親,5.58,5.88,5.49,5.8,5.78,-0.2,-3.4602,0.5882,4839188,27431568.0,5672205259.2,4590836937.72
2017-11-16,'600844,*ST気親,5.78,6.05,5.7,5.94,5.95,-0.17,-2.8571,0.3619,2977200,17606630.0,5875510107.2,4755383064.52
2017-11-15,'600844,*ST気親,5.95,6.11,5.89,6.03,6.08,-0.13,-2.1382,0.2939,2418101,14482679.0,6048319228.0,4895247272.3
2017-11-14,'600844,*ST気親,6.08,6.29,6.0,6.22,6.22,-0.14,-2.2508,0.4015,3302900,20289319.0,6180467379.2,5002202254.72
2017-11-13,'600844,*ST気親,6.22,6.34,6.03,6.03,6.08,0.14,2.3026,0.3989,3282177,20433459.0,6322780772.8,5117384543.48
2017-11-10,'600844,*ST気親,6.08,6.29,6.05,6.16,6.16,-0.08,-1.2987,0.4795,3944900,24386357.0,6180467379.2,5002202254.72
2017-11-09,'600844,*ST気親,6.16,6.26,5.92,5.96,5.96,0.2,3.3557,0.7476,6150604,38079195.0,6261789318.4,5068020705.44
2017-11-08,'600844,*ST気親,5.96,5.96,5.66,5.66,5.68,0.28,4.9296,0.4911,4040027,23583110.0,6058484470.4,4903474578.64
2017-11-07,'600844,*ST気親,5.68,5.85,5.65,5.81,5.83,-0.15,-2.5729,0.6981,5743500,32875007.0,5773857683.2,4673110001.12
2017-11-06,'600844,*ST気親,5.83,5.89,5.75,5.89,5.89,-0.06,-1.0187,0.5284,4347002,25254953.0,5926336319.2,4796519596.22
2017-11-03,'600844,*ST気親,5.89,5.92,5.82,5.82,5.86,0.03,0.5119,0.2201,1810900,10638844.0,5987327773.6,4845883434.26
2017-11-02,'600844,*ST気親,5.86,5.9,5.81,5.88,5.88,-0.02,-0.3401,0.3164,2603300,15181720.0,5956832046.4,4821201515.24
2017-11-01,'600844,*ST気親,5.88,5.96,5.81,5.92,5.93,-0.05,-0.8432,0.3624,2981768,17572270.0,5977162531.2,4837656127.92
2017-10-31,'600844,*ST気親,5.93,6.15,5.89,6.1,6.08,-0.15,-2.4671,0.6056,4982200,29799145.0,6027988743.2,4878792659.62
2017-10-30,'600844,*ST気親,6.08,6.29,6.01,6.27,6.27,-0.19,-3.0303,0.3972,3267792,19959630.0,6180467379.2,5002202254.72
2017-10-27,'600844,*ST気親,6.27,6.37,6.25,6.34,6.35,-0.08,-1.2598,0.1562,1284746,8092425.0,6373606984.8,5158521075.18
2017-10-26,'600844,*ST気親,6.35,6.39,6.31,6.32,6.33,0.02,0.316,0.143,1176100,7465471.0,6454928924.0,5224339525.9
2017-10-25,'600844,*ST気親,6.33,6.35,6.2,6.25,6.22,0.11,1.7685,0.2194,1805300,11359336.0,6434598439.2,5207884913.22
2017-10-24,'600844,*ST気親,6.22,6.51,6.19,6.51,6.5,-0.28,-4.3077,0.4596,3781038,24085794.0,6322780772.8,5117384543.48
2017-10-23,'600844,*ST気親,6.5,6.59,6.49,6.53,6.52,-0.02,-0.3067,0.3284,2701806,17614159.0,6607407560.0,5347749121.0
2017-10-20,'600844,*ST気親,6.52,6.52,6.41,6.41,6.47,0.05,0.7728,0.0997,820010,5316318.0,6627738044.8,5364203733.68
2017-10-19,'600844,*ST気親,6.47,6.61,6.38,6.53,6.59,-0.12,-1.8209,0.366,3011211,19486521.0,6576911832.8,5323067201.98
2017-10-18,'600844,*ST気親,6.59,6.82,6.5,6.82,6.77,-0.18,-2.6588,0.3819,3142102,20763326.0,6698894741.6,5421794878.06
2017-10-17,'600844,*ST気親,6.77,6.88,6.55,6.84,6.88,-0.11,-1.5988,0.2376,1954763,13189888.0,6881869104.8,5569886392.18
2017-10-16,'600844,*ST気親,6.88,6.91,6.78,6.9,6.9,-0.02,-0.2899,0.3286,2703220,18472720.0,6993686771.2,5660386761.92
2017-10-13,'600844,*ST気親,6.9,6.92,6.77,6.79,6.81,0.09,1.3216,0.2856,2349337,16072678.0,7014017256.0,5676841374.6
2017-10-12,'600844,*ST気親,6.81,6.88,6.76,6.88,6.84,-0.03,-0.4386,0.1499,1233150,8381226.0,6922530074.4,5602795617.54
2017-10-11,'600844,*ST気親,6.84,6.87,6.76,6.82,6.82,0.02,0.2933,0.1829,1504416,10277872.0,6953025801.6,5627477536.56
2017-10-10,'600844,*ST気親,6.82,6.82,6.7,6.77,6.74,0.08,1.1869,0.1704,1401809,9481530.0,6932695316.8,5611022923.88
2017-10-09,'600844,*ST気親,6.74,6.84,6.71,6.71,6.69,0.05,0.7474,0.1849,1521164,10299008.0,6851373377.6,5545204473.16
2017-09-29,'600844,*ST気親,6.69,6.73,6.53,6.54,6.55,0.14,2.1374,0.1524,1253480,8362185.0,6800547165.6,5504067941.46
2017-09-28,'600844,*ST気親,6.55,6.72,6.54,6.68,6.69,-0.14,-2.0927,0.2221,1826910,12115170.0,6658233772.0,5388885652.7
2017-09-27,'600844,*ST気親,6.69,6.76,6.67,6.7,6.7,-0.01,-0.1493,0.0829,682100,4580939.0,6800547165.6,5504067941.46
2017-09-26,'600844,*ST気親,6.7,6.78,6.68,6.73,6.69,0.01,0.1495,0.1337,1099700,7397516.0,6810712408.0,5512295247.8
2017-09-25,'600844,*ST気親,6.69,6.77,6.66,6.73,6.72,-0.03,-0.4464,0.1109,912600,6124880.0,6800547165.6,5504067941.46
2017-09-22,'600844,*ST気親,6.72,6.83,6.66,6.83,6.83,-0.11,-1.6105,0.2647,2177981,14625571.0,6831042892.8,5528749860.48
2017-09-21,'600844,*ST気親,6.83,6.97,6.78,6.97,6.98,-0.15,-2.149,0.4838,3980149,27251540.0,6942860559.2,5619250230.22
2017-09-20,'600844,*ST気親,6.98,7.11,6.87,7.08,7.08,-0.1,-1.4124,0.4281,3521800,24508331.0,7095339195.2,5742659825.32
2017-09-19,'600844,*ST気親,7.08,7.15,7.06,7.15,7.15,-0.07,-0.979,0.1414,1163300,8250448.0,7196991619.2,5824932888.72
2017-09-18,'600844,*ST気親,7.15,7.15,7.08,7.08,7.1,0.05,0.7042,0.093,765000,5438305.0,7268148316.0,5882524033.1
2017-09-15,'600844,*ST気親,7.1,7.14,7.05,7.1,7.13,-0.03,-0.4208,0.0903,742560,5259718.0,7217322104.0,5841387501.4
2017-09-14,'600844,*ST気親,7.13,7.29,7.09,7.09,7.09,0.04,0.5642,0.2365,1945669,13970119.0,7247817831.2,5866069420.42
2017-09-13,'600844,*ST気親,7.09,7.14,7.02,7.08,7.12,-0.03,-0.4213,0.1092,898806,6345818.0,7207156861.6,5833160195.06
2017-09-12,'600844,*ST気親,7.12,7.18,7.09,7.18,7.18,-0.06,-0.8357,0.1671,1374400,9789202.0,7237652588.8,5857842114.08
2017-09-11,'600844,*ST気親,7.18,7.18,7.08,7.17,7.17,0.01,0.1395,0.1366,1123800,8022821.0,7298644043.2,5907205952.12
